"","Anxiety","AngryHostility","Depression","Selfconsciousness","Impulsiveness","Vulnerability","Warmth","Gregariousnness","Assertiveness","Activity","ExcitementSeeking","PositiveEmotions","Fantasy","Aesthetics","Feeling","Actions","Ideas","Values","Trust","Straightforwardness","Altruism","Compliance","Modesty","TenderMindedness","Competence","Order","Dutifulness","AchievementStriving","SelfDiscipline","Deliberation"
"Anxiety",1,0.127950512233366,0.588606369726303,0.581517055538415,-0.193922035122082,0.453426567933834,0.40285976465975,0.416039000493176,0.758281978581264,0.143530665823479,0.87020966508985,0.786369535611251,0.828842496004148,0.0539300953577699,0.0726158589776695,0.846522986593421,0.483779127993943,0.501365615001258,0.158225331362264,-0.638935015022966,0.869110407763564,0.457737073889509,0.333365878412878,-0.00179581107411942,-0.389921462471071,0.898419487615044,0.606576496328778,0.473844568628351,0.803733362206251,-0.149008825171184
"AngryHostility",0.127950512233366,1,0.353115520338076,0.312568871587507,-0.4179868796322,-0.135343911122053,0.865515753927331,0.171228012311355,0.236960875154127,-0.0468078054200954,0.233011997661452,0.641145092703758,0.47600175077139,-0.0292510402815566,-0.153495862674208,-0.326569633962623,0.760083017555366,-0.0117718256360069,-0.278659938321983,-0.182997426181568,0.000960949770761093,0.809396176109952,0.135861119777794,-0.0813567769222066,0.195014368949202,0.314600073235487,0.78931368257629,0.432545922833912,0.255155496898688,0.144312214543192
"Depression",0.588606369726303,0.353115520338076,1,0.891201140012224,-0.384551403012295,-0.105184479479848,0.168738572278331,0.950662903757705,0.571768838657395,-0.218656889195008,0.882577804483467,0.797581853067603,0.896599683836612,-0.606566845529701,-0.445063031383558,0.302469672665734,0.827433853336324,0.89207986717162,-0.488330559993508,-0.393879510046091,0.517625552686448,0.16390928747429,0.864508850182031,-0.557043657582561,-0.376187118510316,0.756575194283348,0.640697340737496,0.931789455419283,0.66482434850273,-0.294223925403794
"Selfconsciousness",0.581517055538415,0.312568871587507,0.891201140012224,1,-0.506870819028053,-0.383937765059645,0.161363669707158,0.761967988901337,0.766452811086418,-0.136681525233958,0.745852473196005,0.792209035614782,0.776799116704415,-0.254835252123574,-0.408874978123222,0.206043492507875,0.627787207789745,0.78850161409348,-0.108401293595222,-0.319377715432108,0.320909387660307,0.178694625712747,0.731706333660006,-0.153610387279996,-0.46903383559631,0.57360896965987,0.634978235057311,0.67402158258103,0.838551435984444,-0.256166974262045
"Impulsiveness",-0.193922035122082,-0.4179868796322,-0.384551403012295,-0.506870819028053,1,0.471801860174687,-0.236210507331196,-0.23258096605396,-0.715888871379765,0.768390350379255,-0.189633079179399,-0.554040252096588,-0.331700382720135,0.00767650693167062,0.82995985868873,0.209122441031501,-0.392185831164038,-0.456462962856204,0.148450079940612,0.696264341203953,0.20124582150908,-0.460004334733696,0.0557174206211672,-0.154916913886682,0.766084714975809,-0.22615424888887,-0.704701675093942,-0.281307766108558,-0.217376961959876,0.755785705335823
"Vulnerability",0.453426567933834,-0.135343911122053,-0.105184479479848,-0.383937765059645,0.471801860174687,1,0.23386739405007,-0.0818299188476199,-0.155970107080726,0.314637824014452,0.315536220761625,0.0462330271683109,0.22171385061194,-0.0298823817337413,0.496319496996677,0.724732575187452,0.0751367238171304,-0.13657027293763,-0.0457096667929151,-0.276572635852419,0.744619346914758,0.210076789737254,-0.124060229075933,-0.228239197476605,0.215048212819762,0.500538056499915,-0.0250692620587978,0.087783408569241,-0.0569751510785985,0.172950716968098
"Warmth",0.40285976465975,0.865515753927331,0.168738572278331,0.161363669707158,-0.236210507331196,0.23386739405007,1,-0.0738702840922769,0.321117353689687,0.226431409767688,0.290904446355604,0.654412510969266,0.489442080993473,0.296351230418856,0.195604411847291,0.0398084910119363,0.60299059205587,-0.205314177181519,0.0625753463156772,-0.289305253139953,0.278222900077631,0.95315862558064,-0.0847764967267323,0.168733197554056,0.238122750229458,0.447986802961043,0.759561087122082,0.228229515755687,0.374847295892551,0.284778001009016
"Gregariousnness",0.416039000493176,0.171228012311355,0.950662903757705,0.761967988901337,-0.23258096605396,-0.0818299188476199,-0.0738702840922769,1,0.343141583132671,-0.267328691890935,0.797168768602077,0.583130051207715,0.763430088560874,-0.803941359245156,-0.468669515938789,0.260394544676197,0.728448701900152,0.915601050531158,-0.648488938166744,-0.268245387851864,0.465866276442772,-0.095483417562425,0.919950277430497,-0.748623915795585,-0.319415018101905,0.646935124407015,0.410984710831375,0.935636888829836,0.459305507018366,-0.312656810219093
"Assertiveness",0.758281978581264,0.236960875154127,0.571768838657395,0.766452811086418,-0.715888871379765,-0.155970107080726,0.321117353689687,0.343141583132671,1,-0.260419930958879,0.618894885852328,0.802443418400506,0.662291442994336,0.196910467622232,-0.386513955412791,0.398349746210171,0.403094478126173,0.567581089724191,0.23994293738314,-0.714541713651205,0.353242191454079,0.482665981230504,0.181095927174253,0.28850071762947,-0.735445617221948,0.601327373277853,0.739470283882512,0.335852838149113,0.77756562053377,-0.481895475762875
"Activity",0.143530665823479,-0.0468078054200954,-0.218656889195008,-0.136681525233958,0.768390350379255,0.314637824014452,0.226431409767688,-0.267328691890935,-0.260419930958879,1,0.0101521144007698,-0.110890169098066,-0.0411657336424667,0.403053498001395,0.949343108115126,0.25879806272104,-0.185088745767435,-0.48337538951305,0.521151968720944,0.601209578263626,0.289174327955782,-0.013731498119937,0.0851113025630076,0.233584268417064,0.738411704734656,-0.0397551351883454,-0.277540961048893,-0.268259777960562,0.312966791706125,0.92726204856097
"ExcitementSeeking",0.87020966508985,0.233011997661452,0.882577804483467,0.745852473196005,-0.189633079179399,0.315536220761625,0.290904446355604,0.797168768602077,0.618894885852328,0.0101521144007698,1,0.830057126140565,0.964375657149303,-0.409081320181674,-0.138297614258494,0.690658243104516,0.747261240384916,0.767171163580846,-0.275820253162274,-0.527261841830378,0.849272128142278,0.290680317318608,0.716254497019484,-0.441724468487766,-0.329637905355921,0.952395054188048,0.6252234083566,0.830391969759532,0.752200350766231,-0.185745030975487
"PositiveEmotions",0.786369535611251,0.641145092703758,0.797581853067603,0.792209035614782,-0.554040252096588,0.0462330271683109,0.654412510969266,0.583130051207715,0.802443418400506,-0.110890169098066,0.830057126140565,1,0.935643199577875,-0.117558201849792,-0.275093462664048,0.360902136780701,0.847062717985555,0.580287929513305,-0.146772358807333,-0.624775466564351,0.55939498609804,0.695138672137241,0.463882539931791,-0.122811797382404,-0.364576579046378,0.840327527949441,0.941174366774667,0.713707915279125,0.785069310166914,-0.214019301137715
"Fantasy",0.828842496004148,0.47600175077139,0.896599683836612,0.776799116704415,-0.331700382720135,0.22171385061194,0.489442080993473,0.763430088560874,0.662291442994336,-0.0411657336424667,0.964375657149303,0.935643199577875,1,-0.361477461734189,-0.204228785396776,0.531675534248207,0.873489695266826,0.70763996000531,-0.310237992664771,-0.559400576171281,0.751116727141316,0.489311669093912,0.666864192742328,-0.393978845954194,-0.294929349702268,0.943833365046758,0.79609207492023,0.859194165674093,0.757297827440454,-0.172748834586812
"Aesthetics",0.0539300953577699,-0.0292510402815566,-0.606566845529701,-0.254835252123574,0.00767650693167062,-0.0298823817337413,0.296351230418856,-0.803941359245156,0.196910467622232,0.403053498001395,-0.409081320181674,-0.117558201849792,-0.361477461734189,1,0.475238167247993,-0.00257163978049856,-0.516412721126872,-0.660994366540713,0.928125442252615,0.0738318396062374,-0.213731737423132,0.330913550883752,-0.696816060369388,0.969110975246427,0.0908300890864861,-0.322537334831483,-0.0469205804440085,-0.773431446206854,0.146791101688187,0.30502138341602
"Feeling",0.0726158589776695,-0.153495862674208,-0.445063031383558,-0.408874978123222,0.82995985868873,0.496319496996677,0.195604411847291,-0.468669515938789,-0.386513955412791,0.949343108115126,-0.138297614258494,-0.275093462664048,-0.204228785396776,0.475238167247993,1,0.294540883738328,-0.338368979841732,-0.645076995317373,0.541830456796774,0.536257553877721,0.271567932155711,-0.00753820046453181,-0.164002428749803,0.281072228262629,0.748492167132129,-0.110697364273145,-0.390840464907376,-0.429674603759713,0.0879212653158324,0.877057124665556
"Actions",0.846522986593421,-0.326569633962623,0.302469672665734,0.206043492507875,0.209122441031501,0.724732575187452,0.0398084910119363,0.260394544676197,0.398349746210171,0.25879806272104,0.690658243104516,0.360902136780701,0.531675534248207,-0.00257163978049856,0.294540883738328,1,0.121775450966798,0.35267038900916,0.177702190744255,-0.461735922269401,0.915736265536539,0.0769432365035198,0.213748515062526,-0.0950401373162485,-0.257816803706076,0.729254326294456,0.132330189235291,0.255266350764327,0.496512218257292,-0.0744901931239859
"Ideas",0.483779127993943,0.760083017555366,0.827433853336324,0.627787207789745,-0.392185831164038,0.0751367238171304,0.60299059205587,0.728448701900152,0.403094478126173,-0.185088745767435,0.747261240384916,0.847062717985555,0.873489695266826,-0.516412721126872,-0.338368979841732,0.121775450966798,1,0.567214390838975,-0.598988524665095,-0.427134586715295,0.465355801498518,0.569532510117536,0.61757217420942,-0.551593100907782,-0.0930148148339107,0.758788816115268,0.831810863173271,0.906549078791378,0.463954467293655,-0.127637446439892
"Values",0.501365615001258,-0.0117718256360069,0.89207986717162,0.78850161409348,-0.456462962856204,-0.13657027293763,-0.205314177181519,0.915601050531158,0.567581089724191,-0.48337538951305,0.767171163580846,0.580287929513305,0.70763996000531,-0.660994366540713,-0.645076995317373,0.35267038900916,0.567214390838975,1,-0.492081133440996,-0.510118803019294,0.423102944238321,-0.112830269430288,0.738732530770885,-0.544778150728386,-0.66679387051389,0.635457782558833,0.424365438427295,0.804484421514922,0.473140828495541,-0.614509964536425
"Trust",0.158225331362264,-0.278659938321983,-0.488330559993508,-0.108401293595222,0.148450079940612,-0.0457096667929151,0.0625753463156772,-0.648488938166744,0.23994293738314,0.521151968720944,-0.275820253162274,-0.146772358807333,-0.310237992664771,0.928125442252615,0.541830456796774,0.177702190744255,-0.598988524665095,-0.492081133440996,1,0.168179057685364,-0.08640285213426,0.0726934986975666,-0.481654155851825,0.915606370734837,0.0375012974589862,-0.279010262682818,-0.196132090268478,-0.730786765887772,0.307907318369206,0.3336128110094
"Straightforwardness",-0.638935015022966,-0.182997426181568,-0.393879510046091,-0.319377715432108,0.696264341203953,-0.276572635852419,-0.289305253139953,-0.268245387851864,-0.714541713651205,0.601209578263626,-0.527261841830378,-0.624775466564351,-0.559400576171281,0.0738318396062374,0.536257553877721,-0.461735922269401,-0.427134586715295,-0.510118803019294,0.168179057685364,1,-0.436444745670003,-0.529825851397417,0.0816620187388463,0.0322820482925015,0.773803168186031,-0.677134743612006,-0.678263171111803,-0.393608404723388,-0.254026636049092,0.759192055304625
"Altruism",0.869110407763564,0.000960949770761093,0.517625552686448,0.320909387660307,0.20124582150908,0.744619346914758,0.278222900077631,0.465866276442772,0.353242191454079,0.289174327955782,0.849272128142278,0.55939498609804,0.751116727141316,-0.213731737423132,0.271567932155711,0.915736265536539,0.465355801498518,0.423102944238321,-0.08640285213426,-0.436444745670003,1,0.249527701908954,0.433398538384788,-0.344283249624609,-0.0850367980746518,0.890249354762644,0.343414459182888,0.54341997070878,0.555293319887228,0.0425105658923147
"Compliance",0.457737073889509,0.809396176109952,0.16390928747429,0.178694625712747,-0.460004334733696,0.210076789737254,0.95315862558064,-0.095483417562425,0.482665981230504,-0.013731498119937,0.290680317318608,0.695138672137241,0.489311669093912,0.330913550883752,-0.00753820046453181,0.0769432365035198,0.569532510117536,-0.112830269430288,0.0726934986975666,-0.529825851397417,0.249527701908954,1,-0.212533421671507,0.246425647324843,-0.0333032591170903,0.481828402794985,0.83836491105001,0.204074808661956,0.343305451568722,0.00835993544825884
"Modesty",0.333365878412878,0.135861119777794,0.864508850182031,0.731706333660006,0.0557174206211672,-0.124060229075933,-0.0847764967267323,0.919950277430497,0.181095927174253,0.0851113025630076,0.716254497019484,0.463882539931791,0.666864192742328,-0.696816060369388,-0.164002428749803,0.213748515062526,0.61757217420942,0.738732530770885,-0.481654155851825,0.0816620187388463,0.433398538384788,-0.212533421671507,1,-0.67742627309547,-0.0150289636416073,0.50482032624329,0.232458431692437,0.814995107643172,0.533302533059183,0.0510557139248159
